"LR","Spec","DanQ","DeepSEA"
"1e-03","Cattle",0.438862471802662,0.430547826176484
"5e-04","Cattle",0.456342605677468,0.444442514167551
"1e-04","Cattle",0.455171255466838,0.452347791798622
"5e-05","Cattle",0.457352859432276,0.456055942167026
"1e-03","Chicken",0.454447366163736,0.417064176058954
"5e-04","Chicken",0.458433455118701,0.421176512809747
"1e-04","Chicken",0.484561570503466,0.439809831697505
"5e-05","Chicken",0.485931947832003,0.467035667703947
"1e-03","Pig",0.325475995499587,0.310737388734448
"5e-04","Pig",0.33615395836308,0.324352922872203
"1e-04","Pig",0.33999371644896,0.317994917673375
"5e-05","Pig",0.336562877193787,0.333302724908668
"1e-03","Salmon",0.101877405040594,0.0933489823502065
"5e-04","Salmon",0.110544294785383,0.0947860922048007
"1e-04","Salmon",0.0992614936478798,0.131604757047607
"5e-05","Salmon",0.128803689989283,0.103116569410751
